rule,desc,imple_path
arbitrary_send_eth,"Functions that send Ether to arbitrary destinations
Configuration
Check: arbitrary-send-eth
Severity: High
Confidence: Medium
Description
Unprotected call to a function sending Ether to an arbitrary address.

Exploit Scenario:
contract ArbitrarySendEth{
    address destination;
    function setDestination(){
        destination = msg.sender;
    }

    function withdraw() public{
        destination.transfer(this.balance);
    }
}
Bob calls setDestination and withdraw. As a result he withdraws the contract's balance.

Recommendation
Ensure that an arbitrary user cannot withdraw unauthorized funds.",/home/kaixuan/aila2024/slither/slither/detectors/functions/arbitrary_send_eth.py
assembly,x,x
bad_prng,"Weak PRNG
Configuration
Check: weak-prng
Severity: High
Confidence: Medium
Description
Weak PRNG due to a modulo on block.timestamp, now or blockhash. These can be influenced by miners to some extent so they should be avoided.

Exploit Scenario:
contract Game {

    uint reward_determining_number;

    function guessing() external{
      reward_determining_number = uint256(block.blockhash(10000)) % 10;
    }
}
Eve is a miner. Eve calls guessing and re-orders the block containing the transaction. As a result, Eve wins the game.

Recommendation
Do not use block.timestamp, now or blockhash as a source of randomness",/home/kaixuan/aila2024/slither/slither/detectors/operations/bad_prng.py
boolean_equal,x,x
constable_states,x,x
constant_function_asm,x,x
controlled_array_length,"Array Length Assignment
Configuration
Check: controlled-array-length
Severity: High
Confidence: Medium
Description
Detects the direct assignment of an array's length.

Exploit Scenario:
contract A {
	uint[] testArray; // dynamic size array

	function f(uint usersCount) public {
		// ...
		testArray.length = usersCount;
		// ...
	}

	function g(uint userIndex, uint val) public {
		// ...
		testArray[userIndex] = val;
		// ...
	}
}
Contract storage/state-variables are indexed by a 256-bit integer. The user can set the array length to 2**256-1 in order to index all storage slots. In the example above, one could call the function f to set the array length, then call the function g to control any storage slot desired. Note that storage slots here are indexed via a hash of the indexers; nonetheless, all storage will still be accessible and could be controlled by the attacker.

Recommendation
Do not allow array lengths to be set directly set; instead, opt to add values as needed. Otherwise, thoroughly review the contract to ensure a user-controlled variable cannot reach an array length assignment.",/home/kaixuan/aila2024/slither/slither/detectors/statements/array_length_assignment.py
deprecated_standards,x,x
erc20_interface,x,x
external_function,x,x
incorrect_equality,x,x
